doi	level
10.1007/s00146-007-0088-3	2
10.1007/s00146-007-0090-9	2
10.1007/s00146-007-0091-8	2
10.1007/s00146-007-0092-7	2
10.1007/s00146-007-0093-6	2
10.1007/s00146-007-0094-5	2
10.1007/s00146-007-0096-3	2
10.1007/s00146-007-0097-2	2
10.1007/s00146-007-0098-1	2
10.1007/s00146-007-0099-0	2
10.1007/s00146-007-0100-y	2
10.1007/s00146-007-0103-8	2
10.1007/s00146-007-0105-6	2
10.1007/s00146-007-0106-5	2
10.1007/s00146-007-0107-4	2
10.1007/s00146-007-0109-2	2
10.1007/s00146-007-0110-9	2
10.1007/s00146-007-0112-7	2
10.1007/s00146-007-0118-1	2
10.1007/s00146-007-0119-0	2
