eid	level	doi
41349114281	1	10.1007/s10579-007-9054-4
41349114281	2	10.1007/s10579-007-9054-4
41349123360	1	10.1007/s10579-007-9061-5
41349123360	2	10.1007/s10579-007-9061-5
41349123767	1	10.1007/s10579-007-9057-1
41349123767	2	10.1007/s10579-007-9057-1
41549087911	2	10.1007/s00146-007-0099-0
41549090922	2	10.1007/s00146-007-0092-7
41549098332	2	10.1162/coli.2008.34.1.81
41549124569	2	10.1007/s00146-007-0093-6
41549147844	2	10.1162/coli.2008.34.1.1
41549159851	2	10.1162/coli.2008.34.1.35
41549161187	2	10.1007/s00146-007-0100-y
41549163350	2	10.1007/s00146-007-0094-5
41549164799	2	10.1007/s00146-007-0090-9
4243059876	1	10.1023/A:1017569003556
42449088610	2	10.1007/s00146-003-0287-5
42449089432	2	10.1007/s00146-003-0271-0
42449098992	2	10.1007/s001460200019
42449104934	2	10.1007/s00146-003-0270-1
42449107833	2	10.1007/s00146-003-0281-y
42449108255	2	10.1007/s00146-003-0283-9
42449109543	2	NULL
42449118958	2	NULL
42449128835	2	10.1007/s00146-003-0280-z
42449152451	2	10.1007/s00146-003-0276-8
42449155979	2	10.1007/s00146-003-0284-8
42449163047	2	10.1007/s00146-002-0228-8
42449164751	2	10.1007/s00146-004-0296-z
43249145437	2	10.1080/09296170600850601
43249147527	2	10.1080/09296170600850627
43249147975	2	10.1080/09296170600855444
43249150278	2	10.1080/09296170500500850
43249150599	2	10.1080/09296170600850106
43249154408	2	10.1080/09296170500500777
43249159836	2	10.1080/09296170600892538
43249161679	2	10.1080/09296170500500843
43249161841	2	10.1080/09296170500500694
43249162263	2	10.1080/09296170500500603
43249165359	2	10.1080/09296170500500637
43249166704	2	10.1080/09296170500500983
4344714316	1	10.1023/A:1002629217152
43449094330	2	10.1007/s00799-008-0034-0
43449108841	2	10.1007/s00799-008-0033-1
43449113907	2	10.1007/s00799-007-0032-7
44449122882	1	10.1093/llc/fqn004
44449145029	1	10.1093/llc/fqm029
44449145586	1	10.1093/llc/fqn005
44449177126	1	10.1093/llc/fqn003
44849140591	2	10.1007/s00799-004-0091-y
4544353094	2	NULL
45749086553	2	10.1162/coli.2008.34.2.257
45749105974	2	10.1162/coli.2008.34.2.289
45749135893	2	10.1162/coli.2008.34.2.225
45749138033	2	10.1162/coli.2008.34.2.193
4744344863	1	10.1023/A:1002485918032
48449091221	2	10.1007/s00799-008-0035-z
48449093230	2	10.1007/s00799-008-0039-8
48449094638	2	10.1007/s00799-008-0036-y
48449101979	2	10.1007/s00799-008-0037-x
48449104890	2	10.1007/s00799-008-0038-9
48749127052	2	10.1007/BF01208708
49049086909	1	10.1007/s10579-008-9066-8
49049086909	2	10.1007/s10579-008-9066-8
49049098092	1	10.1007/s10579-007-9045-5
49049098092	2	10.1007/s10579-007-9045-5
49049105173	1	10.1007/s10579-007-9047-3
49049105173	2	10.1007/s10579-007-9047-3
49049116110	1	10.1007/s10579-008-9065-9
49049116110	2	10.1007/s10579-008-9065-9
49049118654	1	10.1007/s10579-008-9067-7
49049118654	2	10.1007/s10579-008-9067-7
49049121031	1	10.1007/s10579-008-9064-x
49049121031	2	10.1007/s10579-008-9064-x
4944223218	2	10.1007/BF01205738
50249092118	2	10.1007/s00146-007-0162-x
50249119610	2	10.1007/s00146-007-0169-3
50249162557	2	10.1007/s00146-007-0168-4
50249172252	2	10.1007/s00146-007-0167-5
50249182857	2	10.1007/s00146-007-0165-7
50849090285	2	10.1162/coli.2008.07-004-R2-06-57
50849104254	2	10.1162/coli.2008.34.3.465
50849110813	2	10.1162/coli.2008.07-017-R1-06-83
50849111092	2	10.1162/coli.2008.07-002-R1-06-30
50849119091	2	10.1162/coli.2008.34.3.319
50849120023	2	10.1162/coli.2008.07-051-R2-03-57
51249126052	2	10.1080/09296170701803426
51249136303	2	10.1080/09296170701794302
51249136721	2	10.1080/09296170701794260
51249142036	2	10.1080/09296170701379336
51249142181	2	10.1080/09296170701378916
51249154388	2	10.1080/09296170701514197
51249156680	2	10.1080/09296170701379260
51249157817	2	10.1080/09296170701379369
51449120317	2	10.1162/coli.2008.07-028-R2-05-82
52549086535	1	NULL
52549086535	2	NULL
52549087053	1	NULL
52549087053	2	NULL
52549091086	2	10.1007/BF01206113
52549094569	1	NULL
52549094569	2	NULL
52549096224	1	NULL
52549096224	2	NULL
52549096781	1	NULL
52549096781	2	NULL
52549100922	2	10.1007/BF01205736
52549102279	2	10.1007/BF01206117
52549106646	1	NULL
52549106646	2	NULL
52549114228	1	NULL
52549114228	2	NULL
52549115783	1	NULL
52549115783	2	NULL
52549125228	1	NULL
