ut	level	doi
000225838500004	1	10.1007/s10579-004-1948-9
000235203600005	2	10.1162/089120105775299177
000235356800006	2	10.1007/s10579-005-2696-1
000240734900002	2	10.1162/coli.2006.32.3.341
000250467300001	2	10.1007/s10579-007-9041-9
000251759800002	2	10.1162/coli.2007.33.4.469
000254203200006	2	10.1007/s10579-007-9055-3
000256592800002	2	10.1080/09296170701794278
000258117600006	2	10.1007/s10579-008-9064-x
000258162700002	2	10.1080/09296170802159488
000263493700002	2	10.1080/09296170802514153
000269451300001	2	10.1080/09296170902975692
000272350800003	2	10.1162/coli.06-77-prep13
000272350900003	2	10.1162/coli.08-012-R1-06-90
000272466300010	2	10.1162/coli.2009.35.4.35404
000272970700002	2	10.1080/09296170903211485
000276471100001	2	10.1007/s10579-009-9105-0
000276471100006	2	10.1007/s10579-009-9098-8
000279055400009	1	10.1080/13569780902868960
000279055500006	1	10.1080/13569780903072224
000279055900004	1	10.1080/13569780903481003
000279056000005	1	10.1080/13569781003700086
000279056000009	1	10.1080/13569781003700151
000279666800003	2	10.1162/coli.09-032-R1-08-034
000281744900011	2	10.1162/coli_a_00011
000281854100003	2	10.1080/09296174.2010.485447
000284753400004	1	10.1093/llc/fqn034
000284754100010	1	10.1093/llc/fqp009
000284755400002	1	10.1093/llc/fqn012
000284757100002	1	10.1093/llc/fqp035
000284757100007	1	10.1093/llc/fqp034
000285641500007	1	10.1093/llc/fqq022
000287404800002	1	10.1080/13569783.2011.541598
000287922900003	2	10.1007/s10579-009-9113-0
000288314500004	2	10.1162/coli_a_00036
000293709900001	2	10.1007/s10579-011-9157-9
000293709900003	2	10.1007/s10579-011-9152-1
000294122100006	1	10.1093/llc/fqr029
000296132100002	1	10.1093/llc/fqr018
000296881000002	2	10.1007/s10579-011-9154-z
000298118200004	2	10.1162/COLI_a_00074
000299555400003	2	10.1080/09296174.2011.608607
000302081800004	2	10.1080/09296174.2012.638797
000302289400001	2	10.1007/s10579-011-9170-z
000302289400004	2	10.1007/s10579-011-9161-0
